"","Month","GreenBns","Broccoli","Carrots","Corn","Onions","GrnPeas","TotVegs"
"1",1,184336,61415,169022,471423,30289,193721,1675598
"2",2,147677,62099,155202,405031,29870,151250,1463357
"3",3,124821,71027,141133,341149,26479,118599,1311003
"4",4,103125,78708,121945,280675,22433,102494,1226398
"5",5,80031,91997,110867,212140,20237,82478,1094891
"6",6,81518,100281,106260,164356,21218,126417,1081974
"7",7,123193,120458,96669,124541,22609,311332,1310713
"8",8,263758,121500,88959,292598,21228,386200,1755657
"9",9,260146,111292,92348,557510,19365,364715,2030721
"10",10,234632,96597,131302,582181,20327,325270,2070681
"11",11,208237,89708,166230,527734,23773,286696,1986389
"12",12,189759,92757,163749,474726,23437,252861,1857392
"13",13,158418,88626,154464,403480,23843,208957,1645455
"14",14,135750,91122,142100,353309,24282,175712,1489574
"15",15,111393,89571,128094,301441,25406,145141,1333747
"16",16,94549,97859,117083,237033,22059,132368,1249413
"17",17,76863,112532,105650,187099,20107,120333,1188015
"18",18,75177,133257,96060,143053,19304,228352,1269518
"19",19,142850,136407,93494,120475,25823,429052,1565296
"20",20,236556,139469,94671,315192,27407,457145,1954127
"21",21,249682,121990,93574,574891,23271,431648,2238029
"22",22,219228,107326,139982,616876,25598,385900,2299599
"23",23,196034,86992,194817,564899,28714,353382,2204174
"24",24,171884,79402,180809,510603,27434,314974,2021944
"25",25,150779,80134,163938,450699,27166,277296,1828771
"26",26,129530,89260,147623,383096,29640,242928,1678130
"27",27,108632,87152,143909,316787,30944,208615,1516676
"28",28,93087,74884,123996,260590,32586,185085,1392251
"29",29,78399,80195,113702,210631,34530,164019,1281053
"30",30,71150,105760,103190,162571,34235,227592,1300882
"31",31,130649,123028,92705,136995,36241,307374,1436921
"32",32,231016,144299,89619,324013,36391,396948,1886999
"33",33,237804,135592,95700,565815,33142,355786,2133405
"34",34,221846,125584,164525,606821,34850,317676,2265932
"35",35,200997,118320,210759,545706,35756,284148,2161280
"36",36,182613,105146,208728,490756,35715,249865,1977572
"37",37,153198,91614,180950,416844,35389,212529,1751085
"38",38,129225,95128,164038,353677,33032,185479,1560205
"39",39,108630,93707,149165,297984,31697,155489,1412098
"40",40,94416,95408,136827,251429,28118,141815,1330022
"41",41,79158,111357,125852,195551,25536,131779,1220258
"42",42,74180,137154,116757,140051,23939,233334,1260134
"43",43,150302,152291,112584,167379,29586,376407,1571205
"44",44,238716,159858,109293,375438,30209,706658,1982656
"45",45,252750,161822,113327,669962,26665,386815,2341266
"46",46,233453,151994,179629,664924,28782,342137,2403869
"47",47,208994,133645,234124,629261,29806,302126,2327508
"48",48,182898,114814,214380,566546,29570,251150,2098396
"49",49,159966,102540,194693,502563,27509,211300,1888724
"50",50,137845,107348,178007,436894,28116,168127,1684048
"51",51,112011,97271,158211,357774,28155,128554,1479938
"52",52,92054,96840,143685,296900,28025,107739,1353418
"53",53,74526,111155,138581,233702,29954,97626,1278499
"54",54,59839,120012,114510,184229,29062,162651,1258687
"55",55,92882,120922,116285,128242,31692,264341,1337218
"56",56,188295,118633,95262,284705,36339,313091,1673607
"57",57,203871,97305,84809,524324,32507,282612,1880576
"58",58,195770,81813,130033,567743,31789,248017,1933669
"59",59,172487,67446,190497,497825,33002,201647,1836251
"60",60,146418,56169,183128,435493,33388,166799,1671706
"61",61,119449,53233,166347,374472,33313,133165,1475678
"62",62,99720,65455,151741,314692,36867,114540,1318569
"63",63,73778,78257,147028,245687,34585,80480,1161640
"64",64,57434,80795,133061,188376,34721,74844,1068674
"65",65,40918,103372,123300,136634,40848,62448,1002194
"66",66,38204,116303,114264,93628,36854,133084,1022314
"67",67,104744,128770,106894,60805,42315,284476,1245233
"68",68,211443,151140,93432,210452,38311,325896,1578852
"69",69,283175,135751,90276,483020,44068,327649,1979305
"70",70,258051,127356,130373,568963,43846,300740,2155482
"71",71,231991,120234,211158,511018,42072,265944,2081035
"72",72,207702,106004,208500,462414,39648,232114,1956785
"73",73,177110,116129,194195,401684,38725,197410,1778136
"74",74,149802,123830,180216,338204,36748,165302,1588909
"75",75,124896,138544,168110,295838,35695,119773,1450234
"76",76,106506,164389,158097,244493,33230,107616,1397673
"77",77,96501,181561,143283,191568,30769,98956,1321074
"78",78,85694,196395,138266,139146,32014,218958,1404030
"79",79,156221,210118,125585,111171,35950,413403,1696248
"80",80,287056,204656,122481,307911,33886,437365,2073913
"81",81,330800,192088,126815,676920,31988,417208,2545393
"82",82,301270,162166,182680,699124,33325,362312,2586733
"83",83,273872,136046,232814,633718,34941,315518,2466661
"84",84,253184,113014,224533,579399,34421,282118,2303101
"85",85,222082,107294,202694,518877,36167,234034,2109261
"86",86,191636,136764,176385,465809,36459,201735,1950384
"87",87,176013,136915,151591,426077,36549,168901,1810684
"88",88,145535,134645,137665,375307,35940,146478,1669925
"89",89,124352,131359,119606,308407,34533,133028,1504886
"90",90,113486,137670,109649,233433,31049,220022,1483732
"91",91,187132,136079,96429,210899,32275,406273,1727285
"92",92,328410,132957,98618,444695,35116,451617,2175708
"93",93,361060,119351,109655,820778,36925,400277,2592826
"94",94,313380,102721,180715,824066,37545,355040,2648618
"95",95,284483,94708,222716,749640,34251,315536,2502411
"96",96,248737,88286,203637,636611,32137,272691,2243853
"97",97,229513,98870,180664,595286,35681,238366,2080245
"98",98,209327,114090,152978,530496,36179,201369,1884819
"99",99,180431,127015,135581,478094,31748,160818,1716314
"100",100,154790,138692,118738,424181,30713,141696,1597045
"101",101,135005,141116,112724,355393,30004,148226,1507794
"102",102,116360,150460,99743,285023,27829,229461,1498044
"103",103,183040,144815,94793,250047,30314,411157,1704801
"104",104,253331,140387,89398,500440,33420,436219,2065984
"105",105,250742,136389,108672,792322,35545,430295,2408558
"106",106,231844,140925,194675,800889,36590,400527,2529992
"107",107,207878,142915,266063,727834,36141,354397,2488787
"108",108,190465,143486,254040,657244,34230,305164,2300040
"109",109,172659,145772,241850,598082,36006,282204,2164133
"110",110,150960,155640,233008,526900,32925,236853,1964942
"111",111,129729,167419,220388,437650,30951,181963,1736325
"112",112,103921,186629,211242,371769,26896,157756,1633520
"113",113,87548,194850,192585,306034,23722,139168,1499880
"114",114,73907,194061,176830,239379,24787,177245,1405764
"115",115,127207,183269,150697,188956,31854,337127,1547426
"116",116,226162,171776,143622,319008,34885,384616,1837230
"117",117,258410,168874,165680,559386,33618,336661,2102450
"118",118,217852,150053,212873,660021,33758,303591,2217306
"119",119,213348,142011,269674,570470,37814,286844,2182492
"120",120,184418,134774,260993,493411,36101,261338,2015892
"121",121,166632,133718,251052,424488,36981,204967,1835782
"122",122,137737,133612,242414,359076,32682,158494,1648986
"123",123,118908,133725,224824,283677,31787,123163,1475347
"124",124,95360,147594,201787,220833,30180,102178,1351208
"125",125,77110,157328,184449,165963,30087,98583,1300136
"126",126,71457,152312,165748,119206,31296,218032,1392227
"127",127,151051,161847,152636,123742,40808,388372,1644196
"128",128,269075,153731,147465,384257,45066,397667,2056994
"129",129,306632,135150,155788,725717,48703,380828,2450277
"130",130,275252,120907,223746,765957,53304,338066,2510157
"131",131,247042,120153,285179,707070,53606,304370,2464853
"132",132,224681,109076,271144,645985,51244,260487,2288336
"133",133,202515,112677,252893,539748,49451,213833,2060675
"134",134,161518,110572,247507,481369,50696,192588,1915525
"135",135,143916,103021,219721,403953,50354,149012,1747546
"136",136,114495,114541,213758,331371,44833,127733,1586519
"137",137,99028,115458,195108,262245,45317,119577,1471118
"138",138,87436,110075,176054,199148,42810,219669,1422141
"139",139,156197,127892,165649,188498,42642,389209,1698436
"140",140,269042,119435,169871,436436,41472,394943,2128705
"141",141,297034,114491,165004,722507,43882,363326,2430902
"142",142,268790,116933,231641,795086,47184,341652,2546324
"143",143,241566,126954,313487,722880,48112,304928,2508131
"144",144,224297,136850,307645,648994,48761,281349,2390428
"145",145,192814,132466,283349,584206,47384,245525,2147243
"146",146,172568,164788,264065,491557,44776,208558,2005765
"147",147,148658,141189,236568,386402,45081,163820,1722152
"148",148,121526,133798,221813,329161,38699,147794,1575170
"149",149,92856,138354,188167,259394,40141,133570,1461402
"150",150,80224,150883,177248,215553,38342,163293,1422893
"151",151,135849,146630,155417,188235,36063,279556,1525796
"152",152,250870,146869,160470,332015,36830,324942,1901353
"153",153,282133,138703,187579,716876,39007,305164,2371993
"154",154,255912,128033,237272,828144,36743,277076,2497311
"155",155,227381,112411,297498,735731,42786,243530,2388041
"156",156,202607,120971,281791,645424,40521,208357,2185704
"157",157,178636,104939,245683,565536,40313,174706,1946880
"158",158,148003,99259,234040,488724,43512,144706,1749512
"159",159,128520,102002,217999,415156,42048,111692,1553441
"160",160,112655,122430,201629,333871,37328,95440,1461895
"161",161,94363,112136,167777,264536,36141,73375,1312012
"162",162,84908,108415,162170,203727,37813,137612,1317133
"163",163,156250,118967,149864,164694,40762,300102,1529711
"164",164,273944,119041,159784,436734,36335,321298,1988991
"165",165,296589,114943,173249,723876,36084,339697,2390139
"166",166,283497,106043,245751,798943,40116,306008,2509258
"167",167,255806,111652,328015,746964,41320,249048,2496122
"168",168,230661,112311,300870,677839,42218,219533,2303007
